Country or territory of asylum or residence,Country or territory of origin,Year,Refugees,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations,Total refugees and people in refugee-like situations assisted by UNHCR
South Africa,Colombia,2016,1,,1,
South Africa,Comoros,2016,3,,3,
South Africa,Congo,2016,5394,,5394,
South Africa,Côte d'Ivoire,2016,40,,40,
South Africa,Dem. Rep. of the Congo,2016,26156,,26156,
South Africa,Djibouti,2016,1,,1,
South Africa,Egypt,2016,4,,4,
South Africa,Eritrea,2016,1978,,1978,
South Africa,Estonia,2016,7,,7,
South Africa,Ethiopia,2016,17776,,17776,
South Africa,France,2016,1,,1,
South Africa,Gabon,2016,1,,1,
South Africa,Ghana,2016,6,,6,
South Africa,Guinea,2016,1,,1,
South Africa,Guinea-Bissau,2016,1,,1,
South Africa,India,2016,6,,6,
South Africa,Iraq,2016,17,,17,
South Africa,Ireland,2016,1,,1,
South Africa,Islamic Rep. of Iran,2016,2,,2,
South Africa,Italy,2016,1,,1,
South Africa,Japan,2016,1,,1,
South Africa,Jordan,2016,1,,1,
South Africa,Kenya,2016,153,,153,
South Africa,Kyrgyzstan,2016,4,,4,
South Africa,Lebanon,2016,2,,2,
South Africa,Lesotho,2016,2,,2,
South Africa,Liberia,2016,58,,58,
South Africa,Libya,2016,1,,1,
South Africa,"Macao SAR, China",2016,3,,3,
South Africa,Malawi,2016,13,,13,
South Africa,Mali,2016,4,,4,
South Africa,Morocco,2016,4,,4,
South Africa,Mozambique,2016,2,,2,
South Africa,Myanmar,2016,2,,2,
South Africa,Namibia,2016,3,,3,
South Africa,Niger,2016,4,,4,
South Africa,Nigeria,2016,6,,6,
South Africa,Norfolk Island,2016,1,,1,
South Africa,Oman,2016,2,,2,
South Africa,Pakistan,2016,17,,17,
South Africa,Poland,2016,1,,1,
South Africa,Russian Federation,2016,11,,11,
South Africa,Rwanda,2016,1381,,1381,
South Africa,Saint Kitts and Nevis,2016,2,,2,
South Africa,Senegal,2016,3,,3,
South Africa,Serbia,2016,1,,1,
South Africa,Seychelles,2016,2,,2,
South Africa,Sierra Leone,2016,20,,20,
South Africa,Solomon Islands,2016,8,,8,
South Africa,Somalia,2016,28695,,28695,
South Africa,Sri Lanka,2016,15,,15,
South Africa,State of Palestine,2016,38,,38,
South Africa,Sudan,2016,115,,115,
South Africa,Swaziland,2016,8,,8,
South Africa,Sweden,2016,1,,1,
South Africa,Syrian Arab Rep.,2016,44,,44,
South Africa,Timor-Leste,2016,1,,1,
South Africa,Togo,2016,12,,12,
South Africa,Turkey,2016,7,,7,
South Africa,Uganda,2016,552,,552,
South Africa,Ukraine,2016,6,,6,
South Africa,United Kingdom,2016,1,,1,
South Africa,United Rep. of Tanzania,2016,36,,36,
South Africa,Yemen,2016,2,,2,
South Africa,Zambia,2016,67,,67,
South Africa,Zimbabwe,2016,4596,,4596,
South Sudan,Burundi,2016,2,2,2,2
South Sudan,Central African Rep.,2016,1853,1853,1853,1853
South Sudan,Dem. Rep. of the Congo,2016,14476,14476,14476,14476
South Sudan,Egypt,2016,1,1,1,1
South Sudan,Eritrea,2016,18,18,18,18
South Sudan,Ethiopia,2016,4691,4691,4691,4691
South Sudan,Somalia,2016,4,4,4,4
South Sudan,Sudan,2016,241510,241510,241510,241510
South Sudan,Syrian Arab Rep.,2016,3,3,3,3
South Sudan,Uganda,2016,2,2,2,2
Spain,Afghanistan,2016,235,,235,
Spain,Albania,2016,2,,2,
Spain,Algeria,2016,42,,42,
Spain,Angola,2016,11,,11,
Spain,Armenia,2016,19,,19,
Spain,Azerbaijan,2016,33,,33,
Spain,Bangladesh,2016,18,,18,
Spain,Belarus,2016,14,,14,
Spain,Benin,2016,3,,3,
Spain,Bhutan,2016,1,,1,
Spain,Bolivia (Plurinational State of),2016,9,,9,
Spain,Bosnia and Herzegovina,2016,1,,1,
Spain,Burkina Faso,2016,3,,3,
Spain,Burundi,2016,3,,3,
Spain,Cameroon,2016,46,,46,
Spain,Central African Rep.,2016,17,,17,
Spain,China,2016,20,,20,
Spain,Colombia,2016,197,,197,
Spain,Congo,2016,11,,11,
Spain,Côte d'Ivoire,2016,191,,191,
Spain,Cuba,2016,905,,905,
Spain,Dem. People's Rep. of Korea,2016,1,,1,
Spain,Dem. Rep. of the Congo,2016,75,,75,
Spain,Egypt,2016,11,,11,
Spain,El Salvador,2016,6,,6,
Spain,Equatorial Guinea,2016,43,,43,
Spain,Eritrea,2016,96,,96,
Spain,Ethiopia,2016,66,,66,
Spain,Gambia,2016,11,,11,
Spain,Georgia,2016,5,,5,
Spain,Guatemala,2016,12,,12,
Spain,Guinea,2016,2,,2,
Spain,Haiti,2016,21,,21,
Spain,Honduras,2016,33,,33,
Spain,India,2016,3,,3,
Spain,Iraq,2016,228,,228,
Spain,Islamic Rep. of Iran,2016,80,,80,
Spain,Jordan,2016,22,,22,
Spain,Kazakhstan,2016,12,,12,
Spain,Kyrgyzstan,2016,4,,4,
Spain,Lebanon,2016,10,,10,
Spain,Liberia,2016,6,,6,
Spain,Libya,2016,5,,5,
Spain,Mali,2016,1,,1,
Spain,Mauritius,2016,2,,2,
Spain,Mexico,2016,16,,16,
Spain,Morocco,2016,59,,59,
Spain,Myanmar,2016,4,,4,
Spain,Nepal,2016,2,,2,
Spain,Nicaragua,2016,11,,11,
Spain,Nigeria,2016,34,,34,
Spain,Pakistan,2016,322,,322,
Spain,Peru,2016,1,,1,
Spain,Russian Federation,2016,136,,136,
Spain,Rwanda,2016,12,,12,
Spain,Senegal,2016,5,,5,
Spain,Serbia,2016,3,,3,
Spain,Sierra Leone,2016,14,,14,
Spain,Somalia,2016,565,,565,
Spain,Sri Lanka,2016,98,,98,
Spain,State of Palestine,2016,595,,595,
Spain,Stateless,2016,76,,76,
Spain,Sudan,2016,52,,52,
Spain,Syrian Arab Rep.,2016,8205,,8205,
Spain,The former Yugoslav Rep. of Macedonia,2016,1,,1,
Spain,Tibetans,2016,3,,3,
Spain,Togo,2016,14,,14,
Spain,Tunisia,2016,1,,1,
Spain,Turkey,2016,2,,2,
Spain,Ukraine,2016,68,,68,
Spain,Uzbekistan,2016,9,,9,
Spain,Various,2016,87,,87,
Spain,Venezuela (Bolivarian Republic of),2016,29,,29,
Spain,Viet Nam,2016,1,,1,
Spain,Western Sahara,2016,17,,17,
Spain,Yemen,2016,9,,9,
Spain,Zimbabwe,2016,2,,2,
Sri Lanka,Afghanistan,2016,75,75,75,75
Sri Lanka,Bangladesh,2016,10,10,10,10
Sri Lanka,Islamic Rep. of Iran,2016,7,7,7,7
Sri Lanka,Maldives,2016,8,8,8,8
Sri Lanka,Myanmar,2016,4,4,4,4
Sri Lanka,Pakistan,2016,479,479,479,479
Sri Lanka,Somalia,2016,1,1,1,1
Sri Lanka,State of Palestine,2016,10,10,10,10
Sri Lanka,Syrian Arab Rep.,2016,8,8,8,8
Sri Lanka,Tunisia,2016,1,1,1,1
Sri Lanka,Yemen,2016,1,1,1,1
Sudan,Afghanistan,2016,6,6,6,6
Sudan,Algeria,2016,1,1,1,1
Sudan,Burundi,2016,13,13,13,13
Sudan,Cameroon,2016,7,7,7,7
Sudan,Central African Rep.,2016,1579,1579,1579,1579
Sudan,Chad,2016,8502,8502,8502,8502
Sudan,Dem. Rep. of the Congo,2016,60,60,60,60
Sudan,Egypt,2016,16,16,16,16
Sudan,Eritrea,2016,103176,103176,103176,103176
Sudan,Ethiopia,2016,3663,3663,3663,3663
Sudan,Gambia,2016,1,1,1,1
Sudan,Iraq,2016,16,16,16,16
Sudan,Kenya,2016,1,1,1,1
Sudan,Libya,2016,2,2,2,2
Sudan,Somalia,2016,184,184,184,184
Sudan,South Sudan,2016,297168,256111,297168,256111
Sudan,State of Palestine,2016,59,59,59,59
Sudan,Syrian Arab Rep.,2016,6997,6997,6997,6997
Sudan,Tunisia,2016,1,1,1,1
Sudan,Uganda,2016,3,3,3,3
Sudan,United Rep. of Tanzania,2016,1,1,1,1
Sudan,Various,2016,8,8,8,8
Sudan,Yemen,2016,1,1,1,1
Sudan,Zimbabwe,2016,1,1,1,1
Suriname,Bangladesh,2016,1,1,1,1
Swaziland,Angola,2016,11,10,11,10
Swaziland,Burundi,2016,149,66,149,66
Swaziland,Cameroon,2016,1,,1,
Swaziland,Côte d'Ivoire,2016,1,,1,
Swaziland,Dem. Rep. of the Congo,2016,338,74,338,74
Swaziland,Eritrea,2016,2,,2,
Swaziland,Ethiopia,2016,4,,4,
Swaziland,Guinea,2016,3,,3,
Swaziland,Kenya,2016,3,,3,
Swaziland,Liberia,2016,2,,2,
Swaziland,Nigeria,2016,2,,2,
Swaziland,Rwanda,2016,139,24,139,24
Swaziland,Somalia,2016,55,22,55,22
Swaziland,Sri Lanka,2016,3,1,3,1
Swaziland,Uganda,2016,6,,6,
Swaziland,United Rep. of Tanzania,2016,2,,2,
Swaziland,Zimbabwe,2016,7,,7,
Sweden,Afghanistan,2016,16558,,16558,
Sweden,Albania,2016,351,,351,
Sweden,Algeria,2016,67,,67,
Sweden,Angola,2016,73,,73,
Sweden,Argentina,2016,1,,1,
Sweden,Armenia,2016,593,,593,
Sweden,Australia,2016,3,,3,
Sweden,Azerbaijan,2016,874,,874,
Sweden,Bahrain,2016,15,,15,
Sweden,Bangladesh,2016,244,,244,
Sweden,Belarus,2016,187,,187,
Sweden,Belgium,2016,1,,1,
Sweden,Benin,2016,9,,9,
Sweden,Bhutan,2016,9,,9,
Sweden,Bolivia (Plurinational State of),2016,72,,72,
Sweden,Bosnia and Herzegovina,2016,226,,226,
Sweden,Brazil,2016,8,,8,
Sweden,Bulgaria,2016,19,,19,
Sweden,Burkina Faso,2016,3,,3,
Sweden,Burundi,2016,243,,243,
Sweden,Cambodia,2016,5,,5,
Sweden,Cameroon,2016,158,,158,
Sweden,Canada,2016,1,,1,
Sweden,Central African Rep.,2016,1,,1,
Sweden,Chad,2016,19,,19,
Sweden,Chile,2016,23,,23,
Sweden,China,2016,298,,298,
Sweden,Colombia,2016,31,,31,
Sweden,Comoros,2016,4,,4,
Sweden,Congo,2016,59,,59,
Sweden,Côte d'Ivoire,2016,71,,71,
Sweden,Croatia,2016,6,,6,
Sweden,Cuba,2016,71,,71,
Sweden,Czechia,2016,2,,2,
Sweden,Dem. People's Rep. of Korea,2016,5,,5,
Sweden,Dem. Rep. of the Congo,2016,326,,326,
Sweden,Denmark,2016,2,,2,
Sweden,Djibouti,2016,20,,20,
Sweden,Dominican Rep.,2016,1,,1,
Sweden,Ecuador,2016,11,,11,
Sweden,Egypt,2016,341,,341,
Sweden,El Salvador,2016,76,,76,
Sweden,Equatorial Guinea,2016,2,,2,
Sweden,Eritrea,2016,25968,,25968,
Sweden,Estonia,2016,1,,1,
Sweden,Ethiopia,2016,1572,,1572,
Sweden,France,2016,3,,3,
Sweden,Gambia,2016,139,,139,
Sweden,Georgia,2016,173,,173,
Sweden,Germany,2016,5,,5,
Sweden,Ghana,2016,53,,53,
Sweden,Greece,2016,18,,18,
Sweden,Guatemala,2016,9,,9,
Sweden,Guinea,2016,81,,81,
Sweden,Guinea-Bissau,2016,7,,7,
Sweden,Haiti,2016,1,,1,
Sweden,Honduras,2016,14,,14,
Sweden,Hungary,2016,3,,3,
Sweden,India,2016,45,,45,
Sweden,Indonesia,2016,15,,15,
Sweden,Iraq,2016,21693,,21693,
Sweden,Islamic Rep. of Iran,2016,4863,,4863,
Sweden,Israel,2016,36,,36,
Sweden,Italy,2016,3,,3,
Sweden,Jamaica,2016,2,,2,
Sweden,Jordan,2016,445,,445,
Sweden,Kazakhstan,2016,313,,313,
Sweden,Kenya,2016,93,,93,
Sweden,Kuwait,2016,20,,20,
Sweden,Kyrgyzstan,2016,196,,196,
Sweden,Latvia,2016,8,,8,
Sweden,Lebanon,2016,638,,638,
Sweden,Liberia,2016,19,,19,
Sweden,Libya,2016,437,,437,
Sweden,Lithuania,2016,3,,3,
Sweden,Malawi,2016,1,,1,
Sweden,Malaysia,2016,4,,4,
Sweden,Maldives,2016,1,,1,
Sweden,Mali,2016,23,,23,
Sweden,Mauritania,2016,12,,12,
Sweden,Mongolia,2016,352,,352,
Sweden,Montenegro,2016,59,,59,
Sweden,Morocco,2016,205,,205,
Sweden,Myanmar,2016,19,,19,
Sweden,Nepal,2016,20,,20,
Sweden,Netherlands,2016,2,,2,
Sweden,New Zealand,2016,1,,1,
Sweden,Nicaragua,2016,9,,9,
Sweden,Niger,2016,3,,3,
Sweden,Nigeria,2016,483,,483,
Sweden,Norway,2016,3,,3,
Sweden,Pakistan,2016,393,,393,
Sweden,Peru,2016,11,,11,
Sweden,Philippines,2016,18,,18,
Sweden,Poland,2016,3,,3,
Sweden,Rep. of Korea,2016,6,,6,
Sweden,Rep. of Moldova,2016,8,,8,
Sweden,Romania,2016,73,,73,
Sweden,Russian Federation,2016,1925,,1925,
Sweden,Rwanda,2016,42,,42,
Sweden,Saudi Arabia,2016,44,,44,
Sweden,Senegal,2016,43,,43,
Sweden,Serbia,2016,2071,,2071,
Sweden,Sierra Leone,2016,70,,70,
Sweden,Singapore,2016,1,,1,
Sweden,Slovakia,2016,7,,7,
Sweden,Somalia,2016,22548,,22548,
Sweden,South Africa,2016,1,,1,
Sweden,South Sudan,2016,1,,1,
Sweden,Sri Lanka,2016,57,,57,
Sweden,State of Palestine,2016,882,,882,
Sweden,Stateless,2016,21119,,21119,
Sweden,Sudan,2016,702,,702,
Sweden,Swaziland,2016,1,,1,
Sweden,Syrian Arab Rep.,2016,96914,,96914,
Sweden,Tajikistan,2016,65,,65,
Sweden,Thailand,2016,12,,12,
Sweden,The former Yugoslav Rep. of Macedonia,2016,76,,76,
Sweden,Togo,2016,12,,12,
Sweden,Tunisia,2016,58,,58,
Sweden,Turkey,2016,341,,341,
Sweden,Turkmenistan,2016,25,,25,
Sweden,Uganda,2016,639,,639,
Sweden,Ukraine,2016,203,,203,
Sweden,United Arab Emirates,2016,2,,2,
Sweden,United Kingdom,2016,7,,7,
Sweden,United Rep. of Tanzania,2016,34,,34,
Sweden,United States,2016,20,,20,
Sweden,Uzbekistan,2016,886,,886,
Sweden,Various,2016,631,,631,
Sweden,Venezuela (Bolivarian Republic of),2016,6,,6,
Sweden,Viet Nam,2016,78,,78,
Sweden,Yemen,2016,929,,929,
Sweden,Zambia,2016,10,,10,
Sweden,Zimbabwe,2016,28,,28,
Switzerland,Afghanistan,2016,5675,,5675,
Switzerland,Albania,2016,67,,67,
Switzerland,Algeria,2016,149,,149,
Switzerland,Angola,2016,846,,846,
Switzerland,Argentina,2016,2,,2,
Switzerland,Armenia,2016,117,,117,
Switzerland,Austria,2016,1,,1,
Switzerland,Azerbaijan,2016,85,,85,
Switzerland,Bahrain,2016,4,,4,
Switzerland,Bangladesh,2016,62,,62,
Switzerland,Belarus,2016,43,,43,
Switzerland,Benin,2016,34,,34,
Switzerland,Bhutan,2016,1,,1,
Switzerland,Bolivia (Plurinational State of),2016,1,,1,
Switzerland,Bosnia and Herzegovina,2016,2173,,2173,
Switzerland,Brazil,2016,9,,9,
Switzerland,Brunei Darussalam,2016,1,,1,
Switzerland,Bulgaria,2016,10,,10,
Switzerland,Burkina Faso,2016,16,,16,
Switzerland,Burundi,2016,64,,64,
Switzerland,Cabo Verde,2016,1,,1,
Switzerland,Cambodia,2016,328,,328,
Switzerland,Cameroon,2016,210,,210,
Switzerland,Canada,2016,1,,1,
Switzerland,Central African Rep.,2016,13,,13,
Switzerland,Chad,2016,49,,49,
Switzerland,Chile,2016,10,,10,
Switzerland,China,2016,3042,,3042,
Switzerland,Colombia,2016,266,,266,
Switzerland,Congo,2016,65,,65,
Switzerland,Côte d'Ivoire,2016,171,,171,
Switzerland,Croatia,2016,35,,35,
Switzerland,Cuba,2016,43,,43,
Switzerland,Czechia,2016,7,,7,
Switzerland,Dem. People's Rep. of Korea,2016,1,,1,
Switzerland,Dem. Rep. of the Congo,2016,1334,,1334,
Switzerland,Djibouti,2016,12,,12,
Switzerland,Dominican Rep.,2016,1,,1,
Switzerland,Ecuador,2016,7,,7,
Switzerland,Egypt,2016,95,,95,
Switzerland,Equatorial Guinea,2016,1,,1,
Switzerland,Eritrea,2016,26264,,26264,
Switzerland,Ethiopia,2016,1207,,1207,
Switzerland,France,2016,2,,2,
Switzerland,Gabon,2016,2,,2,
Switzerland,Gambia,2016,48,,48,
Switzerland,Georgia,2016,115,,115,
Switzerland,Germany,2016,2,,2,
Switzerland,Ghana,2016,17,,17,
Switzerland,Guatemala,2016,4,,4,
Switzerland,Guinea,2016,126,,126,
Switzerland,Guinea-Bissau,2016,57,,57,
Switzerland,Honduras,2016,1,,1,
Switzerland,Hungary,2016,7,,7,
Switzerland,India,2016,50,,50,
Switzerland,Iraq,2016,3494,,3494,
Switzerland,Islamic Rep. of Iran,2016,1619,,1619,
Switzerland,Israel,2016,4,,4,
Switzerland,Italy,2016,6,,6,
Switzerland,Jordan,2016,52,,52,
Switzerland,Kazakhstan,2016,12,,12,
Switzerland,Kenya,2016,43,,43,
Switzerland,Kuwait,2016,1,,1,
Switzerland,Kyrgyzstan,2016,19,,19,
Switzerland,Lao People's Dem. Rep.,2016,133,,133,
Switzerland,Latvia,2016,2,,2,
Switzerland,Lebanon,2016,44,,44,
Switzerland,Liberia,2016,45,,45,
Switzerland,Libya,2016,277,,277,
Switzerland,Madagascar,2016,5,,5,
Switzerland,Malaysia,2016,2,,2,
Switzerland,Mali,2016,23,,23,
Switzerland,Mauritania,2016,5,,5,
Switzerland,Mauritius,2016,1,,1,
Switzerland,Mongolia,2016,105,,105,
Switzerland,Montenegro,2016,52,,52,
Switzerland,Morocco,2016,48,,48,
Switzerland,Myanmar,2016,44,,44,
Switzerland,Nepal,2016,21,,21,
Switzerland,Nicaragua,2016,1,,1,
Switzerland,Niger,2016,10,,10,
Switzerland,Nigeria,2016,175,,175,
Switzerland,Pakistan,2016,123,,123,
Switzerland,Panama,2016,1,,1,
Switzerland,Paraguay,2016,3,,3,
Switzerland,Peru,2016,8,,8,
Switzerland,Philippines,2016,5,,5,
Switzerland,Poland,2016,4,,4,
Switzerland,Portugal,2016,3,,3,
Switzerland,Rep. of Moldova,2016,6,,6,
Switzerland,Romania,2016,20,,20,
Switzerland,Russian Federation,2016,725,,725,
Switzerland,Rwanda,2016,151,,151,
Switzerland,Saudi Arabia,2016,3,,3,
Switzerland,Senegal,2016,36,,36,
Switzerland,Serbia,2016,2976,,2976,
Switzerland,Sierra Leone,2016,35,,35,
Switzerland,Slovakia,2016,1,,1,
Switzerland,Slovenia,2016,1,,1,
Switzerland,Somalia,2016,4440,,4440,
Switzerland,South Africa,2016,12,,12,
Switzerland,South Sudan,2016,4,,4,
Switzerland,Spain,2016,3,,3,
Switzerland,Sri Lanka,2016,5458,,5458,
Switzerland,Stateless,2016,432,,432,
Switzerland,Sudan,2016,247,,247,
Switzerland,Syrian Arab Rep.,2016,11159,,11159,
Switzerland,Tajikistan,2016,4,,4,
Switzerland,Thailand,2016,1,,1,
Switzerland,The former Yugoslav Rep. of Macedonia,2016,179,,179,
Switzerland,Togo,2016,713,,713,
Switzerland,Tunisia,2016,283,,283,
Switzerland,Turkey,2016,3469,,3469,
Switzerland,Turkmenistan,2016,3,,3,
Switzerland,Uganda,2016,35,,35,
Switzerland,Ukraine,2016,35,,35,
Switzerland,United Rep. of Tanzania,2016,12,,12,
Switzerland,United States,2016,1,,1,
Switzerland,Uruguay,2016,1,,1,
Switzerland,Uzbekistan,2016,50,,50,
Switzerland,Various,2016,1395,,1395,
Switzerland,Venezuela (Bolivarian Republic of),2016,3,,3,
Switzerland,Viet Nam,2016,1084,,1084,
Switzerland,Western Sahara,2016,8,,8,
Switzerland,Yemen,2016,339,,339,
Switzerland,Zimbabwe,2016,13,,13,
Syrian Arab Rep.,Afghanistan,2016,1186,1186,1186,1186
Syrian Arab Rep.,Algeria,2016,6,6,6,6
Syrian Arab Rep.,Bangladesh,2016,1,1,1,1
Syrian Arab Rep.,Burkina Faso,2016,1,1,1,1
Syrian Arab Rep.,Chad,2016,7,7,7,7
Syrian Arab Rep.,Congo,2016,1,1,1,1
Syrian Arab Rep.,Côte d'Ivoire,2016,4,4,4,4
Syrian Arab Rep.,Egypt,2016,28,28,28,28
Syrian Arab Rep.,Eritrea,2016,19,19,19,19
Syrian Arab Rep.,Ethiopia,2016,19,19,19,19
Syrian Arab Rep.,Guinea,2016,51,51,51,51
Syrian Arab Rep.,Iraq,2016,16879,16879,16879,16879
Syrian Arab Rep.,Islamic Rep. of Iran,2016,38,38,38,38
Syrian Arab Rep.,Jordan,2016,25,25,25,25
Syrian Arab Rep.,Kuwait,2016,5,5,5,5
Syrian Arab Rep.,Lebanon,2016,27,27,27,27
Syrian Arab Rep.,Libya,2016,10,10,10,10
Syrian Arab Rep.,Morocco,2016,6,6,6,6
Syrian Arab Rep.,Pakistan,2016,135,135,135,135
Syrian Arab Rep.,Russian Federation,2016,2,2,2,2
Syrian Arab Rep.,Saudi Arabia,2016,7,7,7,7
Syrian Arab Rep.,Sierra Leone,2016,19,19,19,19
Syrian Arab Rep.,Somalia,2016,437,437,437,437
Syrian Arab Rep.,South Sudan,2016,98,98,98,98
Syrian Arab Rep.,State of Palestine,2016,3,3,3,3
Syrian Arab Rep.,Sudan,2016,742,742,742,742
Syrian Arab Rep.,Tunisia,2016,6,6,6,6
Syrian Arab Rep.,Turkey,2016,7,7,7,7
Syrian Arab Rep.,Yemen,2016,40,40,40,40
Tajikistan,Afghanistan,2016,2711,1700,2711,1700
Tajikistan,Iraq,2016,2,2,2,2
Tajikistan,Islamic Rep. of Iran,2016,4,4,4,4
Tajikistan,Pakistan,2016,8,8,8,8
Tajikistan,Ukraine,2016,2,,2,
Tajikistan,Uzbekistan,2016,2,2,2,2
Thailand,Afghanistan,2016,54,54,54,54
Thailand,Bahrain,2016,1,1,1,1
Thailand,Burundi,2016,1,1,1,1
Thailand,Cambodia,2016,110,110,110,110
Thailand,Cameroon,2016,1,1,1,1
Thailand,China,2016,161,161,161,161
Thailand,Côte d'Ivoire,2016,16,16,16,16
Thailand,Dem. Rep. of the Congo,2016,27,27,27,27
Thailand,Egypt,2016,6,6,6,6
Thailand,Eritrea,2016,5,5,5,5
Thailand,Ethiopia,2016,6,6,6,6
Thailand,Guinea,2016,2,2,2,2
Thailand,Iraq,2016,220,220,220,220
Thailand,Islamic Rep. of Iran,2016,29,29,29,29
Thailand,Jordan,2016,5,5,5,5
Thailand,Kuwait,2016,1,1,1,1
Thailand,Lao People's Dem. Rep.,2016,1,1,1,1
Thailand,Liberia,2016,2,2,2,2
Thailand,Mali,2016,1,1,1,1
Thailand,Myanmar,2016,50437,50437,102633,102633
Thailand,Nepal,2016,12,12,12,12
Thailand,Nigeria,2016,1,1,1,1
Thailand,Pakistan,2016,1825,1825,1825,1825
Thailand,Russian Federation,2016,2,2,2,2
Thailand,Saudi Arabia,2016,1,1,1,1
Thailand,Senegal,2016,1,1,1,1
Thailand,Somalia,2016,156,156,156,156
Thailand,Sri Lanka,2016,138,138,138,138
Thailand,State of Palestine,2016,453,453,453,453
Thailand,Sudan,2016,14,14,14,14
Thailand,Syrian Arab Rep.,2016,268,268,268,268
Thailand,Togo,2016,5,5,5,5
Thailand,Ukraine,2016,2,2,2,2
Thailand,United Rep. of Tanzania,2016,3,3,3,3
Thailand,Uzbekistan,2016,1,1,1,1
Thailand,Viet Nam,2016,264,264,264,264
Thailand,Yemen,2016,19,19,19,19
The former Yugoslav Rep. of Macedonia,Afghanistan,2016,4,4,4,4
The former Yugoslav Rep. of Macedonia,Iraq,2016,2,2,2,2
The former Yugoslav Rep. of Macedonia,Nigeria,2016,1,1,1,1
The former Yugoslav Rep. of Macedonia,Pakistan,2016,1,1,1,1
The former Yugoslav Rep. of Macedonia,Serbia,2016,456,456,616,616
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2016,13,13,13,13
Togo,Burundi,2016,4,4,4,4
Togo,Central African Rep.,2016,328,328,328,328
Togo,Chad,2016,17,17,17,17
Togo,Congo,2016,29,29,29,29
Togo,Côte d'Ivoire,2016,2129,2129,2129,2129
Togo,Dem. Rep. of the Congo,2016,95,95,95,95
Togo,Gabon,2016,1,1,1,1
Togo,Ghana,2016,9648,4034,9648,4034
Togo,Iraq,2016,5,5,5,5
Togo,Libya,2016,1,1,1,1
Togo,Mali,2016,81,81,81,81
Togo,Nigeria,2016,7,7,7,7
Togo,Rwanda,2016,137,137,137,137
Togo,Serbia,2016,1,1,1,1
Togo,Somalia,2016,1,1,1,1
Togo,Sri Lanka,2016,2,2,2,2
Togo,Sudan,2016,1,1,1,1
Togo,Syrian Arab Rep.,2016,4,4,4,4
Trinidad and Tobago,Bangladesh,2016,8,8,8,8
Trinidad and Tobago,Colombia,2016,13,13,13,13
Trinidad and Tobago,Côte d'Ivoire,2016,1,1,1,1
Trinidad and Tobago,Cuba,2016,31,31,31,31
Trinidad and Tobago,Ghana,2016,1,1,1,1
Trinidad and Tobago,Haiti,2016,2,2,2,2
Trinidad and Tobago,Jamaica,2016,4,4,4,4
Trinidad and Tobago,Liberia,2016,1,1,1,1
Trinidad and Tobago,Mexico,2016,6,6,6,6
Trinidad and Tobago,Nigeria,2016,2,2,2,2
Trinidad and Tobago,Pakistan,2016,4,4,4,4
Trinidad and Tobago,Sri Lanka,2016,3,3,3,3
Trinidad and Tobago,Sudan,2016,1,1,1,1
Trinidad and Tobago,Syrian Arab Rep.,2016,31,31,31,31
Trinidad and Tobago,Venezuela (Bolivarian Republic of),2016,1,1,1,1
Tunisia,Algeria,2016,7,7,7,7
Tunisia,Burundi,2016,1,1,1,1
Tunisia,Cameroon,2016,1,1,1,1
Tunisia,Central African Rep.,2016,5,5,5,5
Tunisia,Côte d'Ivoire,2016,3,3,3,3
Tunisia,Dem. Rep. of the Congo,2016,1,1,1,1
Tunisia,Eritrea,2016,7,7,7,7
Tunisia,Ethiopia,2016,3,3,3,3
Tunisia,Iraq,2016,18,18,18,18
Tunisia,Islamic Rep. of Iran,2016,5,5,5,5
Tunisia,Mali,2016,1,1,1,1
Tunisia,Oman,2016,1,1,1,1
Tunisia,Rwanda,2016,6,6,6,6
Tunisia,Senegal,2016,1,1,1,1
Tunisia,Somalia,2016,13,13,13,13
Tunisia,South Sudan,2016,1,1,1,1
Tunisia,State of Palestine,2016,34,34,34,34
Tunisia,Sudan,2016,32,32,32,32
Tunisia,Syrian Arab Rep.,2016,504,504,504,504
Tunisia,Turkey,2016,5,5,5,5
Turkey,Afghanistan,2016,3423,3423,3423,3423
Turkey,Algeria,2016,4,4,4,4
Turkey,Angola,2016,1,1,1,1
Turkey,Azerbaijan,2016,4,4,4,4
Turkey,Bangladesh,2016,1,1,1,1
Turkey,Burundi,2016,2,2,2,2
Turkey,Cameroon,2016,11,11,11,11
Turkey,China,2016,13,13,13,13
Turkey,Congo,2016,5,5,5,5
Turkey,Côte d'Ivoire,2016,18,18,18,18
Turkey,Cuba,2016,1,1,1,1
Turkey,Dem. Rep. of the Congo,2016,56,56,56,56
Turkey,Egypt,2016,51,51,51,51
Turkey,Eritrea,2016,78,78,78,78
Turkey,Ethiopia,2016,92,92,92,92
Turkey,Guinea,2016,8,8,8,8
Turkey,India,2016,2,2,2,2
Turkey,Iraq,2016,30398,30398,30398,30398
Turkey,Islamic Rep. of Iran,2016,6966,6966,6966,6966
Turkey,Jordan,2016,32,32,32,32
Turkey,Kenya,2016,2,2,2,2
Turkey,Kyrgyzstan,2016,201,201,201,201
Turkey,Lebanon,2016,13,13,13,13
Turkey,Liberia,2016,4,4,4,4
Turkey,Libya,2016,23,23,23,23
Turkey,Mali,2016,1,1,1,1
Turkey,Mauritania,2016,8,8,8,8
Turkey,Morocco,2016,31,31,31,31
